DPPNNNNNNNBS 	CRBVVVSPPNNNNNBSZVVVVVSDPPNNNNNAS 
DDPPNNNNAS 	CRAVVSNNNBSPPCRBVSNNNNBSZVSDDPNNNNBS 
DDPPNNNNNNNNAS 	CRAVSPPNNATCRAVTNNNNNNNASCRAVVVVVSNNNNNNATCRAVVVVTNNNNNNNNBSPZVSDDDPNNNNNNNAT 
DDDPNNNNNNNNNBT 	CRBVVVVVTPPNNBSCRBVSPPNNNBSPPZVVTDPPNNNNNNBT 
DPPNNNNNNNNBT 	CRBVVVVTPPNNNNNNNBTCRBVVTPPNNNNNNNNASPPCRAVVVSPPNNNNNASPZVVTPPNNNBS 
DDDPPNNNNNNNNAS 	CRAVVSNNNNNNNBTPPCRBVVTPNNNNNNNBTPZVSDDDNAT 
DDPPNNNNNBS 	CRBVVVVSNNNBTCRBVVVVVTPPNNNASPCRAVVSNNBTPPZVSPNNNNBS 
DDPPNNBT 	CRBVTPNNNNNNBSPCRBVVVVSNNNNATCRAVVVTPNNNNNNNBSPPZVTDDPNNNNNNNBS 
NNNNNNNNBS 	CRBVVSPPNNNNBTCRBVVVVTPPNNNNNNNASCRAVVVVSNASCRAVVVSPNNNNNNNNNASPPZVVSPPNNNNNNBT 
DDNNNBS 	CRBVVVSPPNNNNNNNATCRAVVVTPNNNNNATPCRAVVVVVTPPNNNNNNNNNBSZVVVVSDNNNNNNNAS 
DDDNNNNNAS 	CRAVSNNNNNNBSZVVVVVSDPPNNNNNNNNNAS 
DDPNNNNNNNNBT 	CRBVVTPPNNNNNNNNNATPCRAVVTPNNNNNNNNNASPZVTDPPNNNNNNNBT 
NNNNNNNNBT 	CRBVVVVTPPNNNNNNNNNATPCRAVVVVVTPPNNNNNNNATPCRAVVVVTPNNNBTPPZVVVTDDDPPNNAS 
DNBT 	CRBVVTPPNBSCRBVVVVVSPNATZVVVVVTPPNNNNNBT 
DDPPNNNNNAS 	CRAVVVVSPNNNNNNBTPCRBVVVTNNNNNNNASPCRAVSPNNNNNNNASCRAVVVVVSPPNNASZVVVVSDNNNNAT 
PNAS 	CRAVVVSNNNNNATCRAVVTPPNNNNNNNNASPPZVVVSPPNNNNNNNAS 
DNNNNBT 	CRBVTPNBSCRBVVVVVSNNBTPCRBVTPNNNNNNNNATZVVVTDDPPNNNNNNNNAT 
DNNNNNNNNNAT 	CRAVVVVTPPNNBSCRBVVSNNNNNNNNATPPZVTPNNBS 
PPNNNNNNNNAS 	CRAVVVSPPNNNNNNBSPZVVVSPNNNNNNNBS 
DDDPPNNNNAT 	CRAVVTPNNNNNNNBSCRBVVVSPPNNNNBTPPCRBVTPPNNNNNNNNASZVTNNNNNNNNBS 
PPNNNNNNNNNBT 	CRBVTPNNNBSPPZVVVTDDDPNNNNNNNNNBS 
DPNNNNNNNBS 	CRBVVVVVSNNNNNNNASZVVVVSDPPNNNNNNNNNAS 
DDDNNNNBT 	CRBVTPNNNNASZVVTPPNNNNNNNAT 
DNNNNNNBS 	CRBVVVSPPNNNNNNNNNBTPZVSDDDPPNNBT 
DPNNNNNNNAT 	CRAVVVVTPPNNNNNBSCRBVVSPPNBTCRBVTPPNNNNNNNNBTPPCRBVVVVVTNNNNNNASZVVVVVTDPNNNNNAT 
DDDNNNNAT 	CRAVVVVVTPNNNBSPPCRBVVVSPNNNNNNNNBTPPZVVVVVTDDPNNNNAS 
DPPNNNNNBS 	CRBVVVVVSNNNNNASPZVVVSDDDNNNBT 
DPPNNNNNBS 	CRBVVVVVSNNNNNNASZVVSDPPNNNNNAS 
DDNNNNNNNNNBT 	CRBVVVTPPNATZVVTDDDNNNAS 
DPNNNNNAT 	CRAVVVVTPPNNNNNNBTPPCRBVVVVVTPNNASPPCRAVVVSNNBSCRBVSPNNNNNNBTZVVVTPPNNNNNBT 
DPPNNNNNNNNBT 	CRBVVTPNNNNNNNNBSPZVVVVTDDDPNAT 
DDPNNNNNNBS 	CRBVSNNBTPPCRBVVVVTPPNNNNATPPZVVSDDPNNNNNNAS 
DDDPNNNNNNAS 	CRAVVVVSPNBTPZVVVSDPPNNNNNNNBT 
PNNNNNNNBS 	CRBVVVVVSNNNNASPCRAVVSPPNNNNNATPCRAVVVTPNATPZVSPNNNNAS 
NNNNNNNAT 	CRAVVVTNNNNNNNNBTPCRBVVVVVTPNNNNNNATPPZVVVVVTPNNNAS 
DPPNNAT 	CRAVVVVVTPPNNNNNNNATPPZVVVVTDDDNBS 
PNNNNNNNBS 	CRBVVVSPNNNNNNBTZVSDNNNNBS 
NNNNNNNNAT 	CRAVVVVTPNNNNNBSPPCRBVVVVVSPPNNNNNNASPCRAVVVSNBTZVVVVTDDDNNNBT 
DDNNNNAT 	CRAVVVVTNNNNNNNNBTPPCRBVVVVTPNNNATPPCRAVTNNNNNNNBTZVTDPNNNBS 
PNNNNNNNNNAT 	CRAVVVTNNNNNNNNNASCRAVVVVSNNNNNNNNNBSPCRBVVVVSNNNNBTPPCRBVVVVTPPNNNBSZVVVVVTPPNBT 
DPNNNNNNNNNBT 	CRBVTPNNNNNNNNNBTPCRBVTPPNNNNNNNNNASPPCRAVVSPPNNNNNNATZVTDDNNAT 
DDDPNNNNNNNAT 	CRAVVVTPPNNNNNATPZVTNBS 
PNNNNNNNNBT 	CRBVVVVVTPPNNNNNNNNASPCRAVVVVVSPPNNNNNNNNNASPPCRAVSNNNNNNNNBSPPZVVTDDDNNNNNAS 
DDPPNNNNNNNNAS 	CRAVSPNNNNBTCRBVVVVTPPNNNNNNNNNBTPCRBVVVVTPPNNNNATCRAVVTNNNNNNNBTPPZVVSPNNBS 
DDDPNNNNNNNAS 	CRAVVVVSNNBSPCRBVVSPNNNNNBSZVVVVVSDDDNNNNNNNBT 
DDNNNNAT 	CRAVVVVTNNNNNNATZVTNNNNNNNNAS 
DDNNNNNNNBT 	CRBVVTPPNNNNNATZVVTDDDPNBT 
DPPNBS 	CRBVVVSPNNNNNNNNBTPCRBVTPPNNNNNNNNNBSCRBVVVSNNNATPCRAVTPPNBSPPZVSNNNNNNNAT 
DDNNNNNNNBT 	CRBVVTNNNNNNNBSPPCRBVVVVVSNNNNNATPCRAVTPNBSPPZVVVVVTNNNAS 
DDNAS 	CRAVVVVSNBSPZVSDDNNNNNBS 
DNNAS 	CRAVVVVVSPPNNNNNASPCRAVVVSPNNNNNNASPPCRAVVVVVSPPNNNNNNNNASPZVVVVSDPNNNNNNNBS 
DDPPNNNNNBS 	CRBVVSNNNBSZVVVSDDDPNNNNNNBS 
DDNNNNNNNBT 	CRBVVVVTPNNASPZVVVVTDDNNNNBS 
DDPNNNNNNNNBS 	CRBVVVSPNNNNNNNBSPZVVSDDDPNNNNNNNNAT 
DNAT 	CRAVVVVVTNNNNASCRAVSPNNASCRAVVVVVSNNBSPPZVVTNBT 
PNNAT 	CRAVVVTPNNNNNNNNNATCRAVTPNNNNNNNNNASPCRAVVVVVSPNNNNATPPZVVTDPNNNNNNNNNBT 
DDNNNNAS 	CRAVVVVVSNNNNBSPCRBVVVSPPNNNNNBSPPCRBVVVSPNNASCRAVVVVSNNNNNNBTPZVVVSDDDNNBT 
PNNNNNAT 	CRAVVVTPPNATCRAVVVVTNNNNNNATPCRAVVVVTNNNNNATZVTNNNBS 
DPNNNNNNNNNAS 	CRAVVVVVSPPNNBSCRBVVVVSPPNNNNBSZVVVSDDPPNNNNNNNNBT 
PPNNAT 	CRAVVTPNNNNNNNNBSCRBVVSNNNNNNNBSCRBVVSPNNNNNNNBSCRBVVSNNNNNNATPPZVVVVTNNNNAS 
DDPNNNNNNNNAS 	CRAVVVVVSPPNNNNNNNATZVVSNNAT 
DDPPNAT 	CRAVVTPNNNNNBSPPCRBVVSPPNNNNNNBTPPCRBVVVVVTNNNNNBSPZVVVTPPNNNNNNBT 
NNNNNNNNNBT 	CRBVTPPNNNNNNNNBSPPCRBVSPPNNNNNNBTCRBVVVVVTPNNNNNNNNNASPZVVVTDDNNNNNAT 
NNNBS 	CRBVVVVSPNNNNNNNNATZVVVVVSPNNNNNNBT 
DDNNNNNNBS 	CRBVVVVSPNATPPCRAVVVVVTPNNNNBSPPZVVVSDDDPPNNNNNNNNAS 
DDNNNNNNNNNBS 	CRBVVVSNNNBTPPCRBVVVTPNNASPPCRAVVSPPNNNNNNNNATPZVVSDNNNBS 
DPNNNNNNNAS 	CRAVVVVSPNNNNNNNBTZVVVVVSDNNNNNNNAT 
DDPPNNNNNAT 	CRAVVVVTPNNNNNNNASPCRAVVVVVSNNNNNNBTPPCRBVVVVTNNNNNNNNNBTPCRBVVTNNNNNNNNBTPZVVVVTDDDPNNNNNBT 
PNNNNAS 	CRAVSNNNATCRAVVVTPNNNNNNBTCRBVVTPPNNNNNNNNATPZVVVSDDDPNNNNNNNBT 
PPNNNNNBT 	CRBVVVVVTPPNNNNNASPPZVVVVTDDPPNNNNNNNNBT 
DPPNNNNNNNNNAT 	CRAVVVTNNNNNNNNNASPCRAVVSPNNNNATPZVTDNNNAS 
PNNNAT 	CRAVVTPPNNNATCRAVVVTPNNNNBTPCRBVVVVVTPNNNBSPZVVVVTDDPPNBS 
DDPNNNNNNNBT 	CRBVVTPPNNNATPCRAVVVVVTPNNNNNNNBSPPCRBVVVVSPPNNNNNASCRAVVVVVSPNNNNNBTPPZVVVVTPPNNNNNNNNBT 
PPNNNNNNAT 	CRAVTPPNNNNASPPZVVVTDDNNNNNAS 
DPNNNNNNNNNBS 	CRBVSPPNNATCRAVVTPPNNNNNNNBSPZVVSDPPNNNAT 
DDNNNNNBT 	CRBVVVVVTPPNNNNNATPCRAVVVVTPNNBSPPCRBVVVVVSPNNNNBSPPCRBVVVSPNNATPZVVVVVTDDDNNNBS 
DDDPNNNNNNNNNAS 	CRAVVVVSPNNNNATPPZVVVVVSDNBT 
DDDNAT 	CRAVVTPNNNATPCRAVVVVVTNNNNNNNATCRAVVVVTPNNBSPPZVVVVVTDPNNNNNBT 
PNNNNNBS 	CRBVSPPNNNNNNASPZVVVVVSDPNNNNNNBS 
DPPNNNNNNNAS 	CRAVVVVSPPNNNNNNNNASCRAVVSPNNNNNNATCRAVVVTNNNNNNBTCRBVVVTNATZVVVSDPNNNNNNNNNBS 
DDNBT 	CRBVTNNNNNNNNATPZVVTPPNAS 
DDPNNNNNBT 	CRBVVTPPNNNNNASPCRAVVSNBTPPCRBVVTNBSPPCRBVVVSPPNNNNNNNASPPZVVTDDNNNAT 
NNNNNNNNNBS 	CRBVVVSNNNNNNNASCRAVVVVSPPNNNNNNNBTPPZVVSDDPNBS 
DPPNNNAT 	CRAVVVVVTPNNNNNNNATCRAVVVVTNNBTPZVTDDDPPNNNNNNNNNBS 
PPNNNAT 	CRAVVTNNNNNNNNNASPPCRAVVVVVSPNBTPPCRBVVVVVTPNNNNNASPZVVVVTDDDPNNNNNBT 
DDDPPNNNAS 	CRAVVVSPPNNNNNNNBTPCRBVVTPPNNNNNNBTPCRBVVVVTPNNNBTPZVVVSDDDPPNNNNNNNNNAT 
PPNNAT 	CRAVVVTPNNNNNBSZVVVVTDNNNNNNNNAS 
DDPNNNNNNNNBT 	CRBVVVVTPPNNNNNNNNBTCRBVTPNNNNNBSPPCRBVSPPNNNNBTPCRBVVVVVTPPNNNNNNNNBTPZVVVVVTPNNNNBS 
DDDNNNNNAS 	CRAVVVSNNNNNNNNNATCRAVVTNNNNNNBSPPCRBVVVSNNASPPZVVVVSDDPNNNNNNNAS 
DDPNNNNAS 	CRAVSNNNNNNNBTPCRBVVTPNNNNNNATPZVVVVVSNNNBS 
NNNNNNNBS 	CRBVVSNNNNNNNNNBTPPCRBVTPPNNNNNNNASCRAVVVVSPPNNNNBTPCRBVTPPNNNBTPPZVVVVSDDPPNNNNNBT 
DDDPPNNNNNNNNNAT 	CRAVVVVTNASZVVVTPPNNNNNNBT 
DDDPPNNNNNAT 	CRAVVVVTPPNNNNNNNBTPCRBVTPNNNNNBTPCRBVVVTPNNASZVTNNAT 
DPPNAT 	CRAVVVVVTPNNNNNNNASPPCRAVSNATPCRAVVVVVTNNNATPZVTDDNNNNBS 
DNNNNNNNNNBT 	CRBVVTPPNNNNBSCRBVSPPNNNNNNNBSCRBVVVSPNBTPCRBVVVTNNNNNNNBTPPZVVTDDNNBT 
DDDNNNAT 	CRAVVVTNNNNNNNBTPZVVTDNNNAS 
DNNNNNNNBS 	CRBVVVSNATCRAVTNNNNNNNNATPCRAVVVVVTNNNNNNASCRAVVVVSNNBTZVVVSDNNNNBS 
DDPPNNNNNNNBT 	CRBVVVTPNNBSPPCRBVVVSNNNBSPCRBVVSPNNATPPCRAVVVVTPNNNNNATZVTDDPNNNNNAS 
DDDPPNNNNAS 	CRAVSNNNNNNNNNBTPPCRBVVVVTPPNNNNNBSZVVVSDNNNNNAT 
DPNAS 	CRAVVSPNNNNNNNNBTPZVVVVSNNNNAS 
NNBS 	CRBVVVVVSPPNNNNBSPPCRBVVVVVSPNNBTPCRBVVTPPNNNNNNNNNBTZVVVSNNNNNNNBT 
DPNNNNNNAS 	CRAVVSPNNNBTCRBVVVVTNNNNNBSPZVSDNNNNNNNNNBT 
DDPNNNNNNNAT 	CRAVVVTNBTPCRBVVTNNNNNNASPPCRAVVSPPNNBTPPZVVTNAT 
DDPPNNNNBS 	CRBVVVVVSPPNNNNNNBSZVVSDPNNNNBT 
DDPPNNNNNNNBT 	CRBVVTNNNNNNNNBTPCRBVVVVTPNNNNNNNNASPPZVVVVVTPPNBS 
DDDPPNNNNNNNNNAT 	CRAVVVTPPNBSPPCRBVSPPNNNNNNASZVVVTDDDNNNNNAS 
DDDPNNNBT 	CRBVVTNNNNBSCRBVSPNNNNASCRAVVSPNASPPCRAVVVVSPNNNNATZVTPNBS 
DDNNNNNNNAS 	CRAVSPPNNNNNNNNNBSPZVVSDDPNNNNNNNNNAT 
DDDNNNNNNNNNBT 	CRBVVVTPPNNNNNNNNBTPPCRBVTPNNNNNNNNATPPCRAVTPNATPZVVTPPNNNNNNNNNBS 
DDNNNNNNNAT 	CRAVTPNNNNNNNBSPPZVVVVTDNNNNAT 
DDDNNNNNNNNAT 	CRAVVTPPNNNNBTPPCRBVVTPNNNNNNNNNBSPPCRBVVSNNNASPPZVVVVTDPPNNAT 
DDDPNNNNAS 	CRAVVSPPNNNNBSPCRBVVVSPNNNBTZVVVVSNNNNAS 
DDPPNNNNNNNNAS 	CRAVVVSNNNNNNNBSPCRBVVVVVSPNNNBSPZVVVVSDPPNNNNNNBT 
DDPPNNNNNAS 	CRAVVVVSPNNNNNNNNNASCRAVVVVVSPPNNATPCRAVVVVTNNNNNNNNNATCRAVVVTPPNNNNNNASPPZVSDPPNNNNAT 
DPPNNAT 	CRAVTPNBTPCRBVVTNNNATPCRAVVVVVTNBTPPZVVTDPNNNNAS 
PPNNNNNNNBS 	CRBVVVVSPPNNNNNNNNNASPPZVVVVSDDPNNNNNNNNNBS 
DDDPNNNNNNNNNBT 	CRBVTPPNNNNATPPCRAVTPNNNNNBTPPZVVVVTDDDPNNNNNNNBT 
DNNNNNBS 	CRBVVSPNNNATPCRAVVVTPNNNNNNNNBSPCRBVVVVVSPNNNNNNNNBSCRBVVVVVSPPNNNBSZVVVVVSDPNNNNNAT 
DNAS 	CRAVVVSPPNNNNNNNATPPZVSDDDPNNAS 
DDPNNAS 	CRAVVSPPNNNNNNNBSCRBVVVVSPNNNNNNASCRAVVVVVSPNNNNNNBTCRBVVVTNNNNNNBTPPZVVVVVSDPNNNNNNNNNBS 
PNNNNNNNNAT 	CRAVVVVVTNNNASCRAVVVVSNNNNNNNNASPPCRAVVVSPNNNNNNNNNASPCRAVVVVSPPNNNNBSPPZVVVTDNNNNNNBT 
DDDPPNNNAT 	CRAVTNBSCRBVVVVSPNNNNBTPPCRBVVVVVTPPNNNNNNASPPCRAVVVVSPPNASPZVVVTDDPPNNNNNNNAS 
DDPNNNAS 	CRAVVSPNNNNBTPPCRBVVTNNNNNNNNNASPPCRAVVVVSNNASPZVVVVVSPPNNNBT 
PNNNAS 	CRAVVVVSPNNASCRAVVSPNNNNNNNASPCRAVVVVVSPNNNNNNBSPZVVSDDDPPNNNNNNNNAT 
DDNNNNNNNNBS 	CRBVVSPNASPPCRAVSNNNNNNNBTZVSDDPPNNNNNNNAT 
DDDNNNNNNNNBS 	CRBVVSPNNATPCRAVTNNNNNNNBSPPCRBVVVVVSPNNNNATPPZVVVVSDDNNNBS 
DDDNBT 	CRBVVTPNNNNNNBTPPCRBVVTPPNNASZVVVTPPNNNNNAS 
DPPNAS 	CRAVVVSPNASPCRAVVVSPPNNATPPZVSDDDPPNAT 
DPNNAS 	CRAVVVVVSPNNNNNNNBTPPCRBVVVTPPNASPCRAVSPPNNNNNNNNNATPCRAVVVTPNNNNNASPZVVVVSDNNNNNNAT 
NBS 	CRBVVSPNNNNNNBSCRBVSNNNNNNNBSCRBVSPNNNBTPPCRBVVVVVTPPNNNNNNNNASPPZVVVSDDDPPNNNNNBS 
DDDPPNBS 	CRBVSNNNNNATCRAVTPNBTZVVSDPPNNAS 
DDPPNNNNNNNNBS 	CRBVVVVVSNNNASCRAVSPNNNNNNNNASPCRAVSPNATPZVVVVSPNNAT 
DNNNNNNNNBT 	CRBVVTPNNNNBTPPZVVVTDDPPNNNAS 
PNNNNNNNBS 	CRBVVVVVSPNNNNASPPZVVVSNNNNNAS 
DDDPPNNNNNNNBT 	CRBVVTNNNNATPCRAVVVVTNATCRAVVTPPNNASCRAVSPPNBSZVTNNNNNNAT 
DDDPNNNNNNBT 	CRBVVVVVTPNNNNNATPPCRAVVVTNNNNNBSPPCRBVVVSNNNNNNNNBSPPZVVVVVTDDDPPNNNNBS 
NNNBT 	CRBVVVTPNNNBTPPZVVVTDNNNBT 
DDDPPNNNNBS 	CRBVSNNNNNNNNBTCRBVVVTNNNNNNNNBSPPZVSDDNNNNNNNNNAS 
DDDPNNNNNNNAT 	CRAVVVTNNNNNBSPPZVVVVVTDDDPPNNNNNNBS 
PPNNNAS 	CRAVVVVSPNATPCRAVVTPPNNNNATCRAVVVTPNNNBTCRBVVVVTPPNNNNBSPZVVSPNBS 
DDPNNNNBS 	CRBVVSNNNNNNNNATPPZVSDPNNNNBT 
DDPNNNNNBS 	CRBVVVSNNNNBSCRBVVVSPNNNNNNNBTCRBVVVVVTPPNNNNNBTPPZVVSDDDPNAT 
DPNNNNNBS 	CRBVSNNBTPCRBVTPPNNNNNNNNASPPCRAVVSPPNNNNNNNNNBSPCRBVVVVVSPNNNNNBSPPZVVVVVSDNNNNNNBT 
DDDNNNNNAT 	CRAVVTPNNNASZVTDPPNNNNNBT 
PNNNNNNAS 	CRAVVVVVSPPNNNBTPZVVSDPNNNNNNBS 
NNNNNBS 	CRBVVVSNNNNNNNNNATPCRAVVTPPNNNNNNNNNBTPCRBVVVTNNNNBSPCRBVVVSPPNNNNNNASPZVVVVVSDDDPNNNAT 
DPPNNNNNNNNNAT 	CRAVVVVVTPPNNNNNNNNNASZVVVTPPNNBT 
PPNNNNNNNBT 	CRBVVVTPPNNNNNNNBSPCRBVSPNNBSPPCRBVVVVSPNNATCRAVVVTPNASZVTNNNNNNNAT 
DDNAS 	CRAVVVVSPPNNNNATCRAVVVVTNNNNNNNBTPZVVVVVSDDDNNNAT 
NAT 	CRAVVVVVTPPNNNNATPPCRAVTPNNBTZVTDDPNNNNNAT 
DPNNNNBS 	CRBVVVVVSPNNNNNNNNNASCRAVVVVSPNNNBSCRBVVVVSPNNNNATPCRAVVVVVTPPNNNNNNNATPZVSDPNNNNNNNNAT 
DPNNNNBT 	CRBVVVVTPNNNNNBSPPCRBVVVSPNBTPPCRBVVVVVTPPNNNNBSPCRBVVSNNNNNBTPZVVVVVTDNNAT 
DNNNBS 	CRBVVVVVSPPNNNNNNNBTPPCRBVVTNNNNATPZVSDDDPPNNNNNNNNAT 
DDDNNNBT 	CRBVVVVVTPPNNNNNNNBTPCRBVVVVTPNNNNNNASCRAVSPPNNNNASPPCRAVVVSNNNNBTPZVVVVVTDDPNNAS 
PNNNNNNAT 	CRAVVVVVTPPNNNNNNNNASPPCRAVSPNNNASZVVVVTDDNNNNAS 
DDDPPNNNNNNBT 	CRBVVTNNNNNNBTPPCRBVVVVTPPNNNNASPZVTDDDPPNNBT 
NBT 	CRBVVVTNNNNNNNNNBSZVTPPNNNNNBS 
NNNNNNNNAT 	CRAVVVTPNNASPPCRAVVVSPNNATPPCRAVTPPNNNNBTPZVVVVTPPNBT 
PPNNNAT 	CRAVVVVVTNNNATCRAVVVVTPPNNNNNNNNASPZVTDDDPPNNBS 
PPNNNNNNNNNBS 	CRBVVVSPPNNATPCRAVVTPPNNNNBSPPCRBVVVVVSPNNNNNBSCRBVSPNNNNNNNNNASPPZVSDPPNNNNAS 
DDPPNBS 	CRBVVVSPPNNNNNNNBSPCRBVVVSPNNNNNNNASPCRAVVSPNNNNNNNNATPCRAVVVVVTPNNASZVVSPPNNNNBS 
DDDNNNNNNNNNBS 	CRBVVSPNNNNNNNNBSPZVVVVVSDDPNNNAT 
DDPPNNNNNBT 	CRBVVVVTPNNNNNNNNBTCRBVTPPNNNNNNNBTCRBVVVVTPPNNNATPPZVVTDPPNNNNNBS 
DDDPPNNNNNNNNNBS 	CRBVVSNNNASPCRAVVSPNNNNNNNNNBTPCRBVVVVTPNNNNNNNNNASPPCRAVVVSPNNNNNNBSPPZVVVVSPNNNNNNNNBS 
DDDPPNNNNNNNNBS 	CRBVVSPPNBSPZVVVVVSPNNNNNAS 
DDDNAS 	CRAVVVVVSNASPPCRAVVVSPNNNNNASPPZVVSDPNNNAT 
DPNNNNNNNAT 	CRAVVVVTPNNNNNNNBTPZVVVVTDDNNNNAT 
DPPNNNNBT 	CRBVTPNNNNNNNNNASCRAVVSNNNNNNNNNASPPCRAVVVVVSPNNNNNBSPPCRBVVSPNATPZVVVTDDDPNNNNNNNAS 
DPPNNBS 	CRBVVVVVSPNNNBSPZVSDDDNNNNNBT 
DDDNNNAT 	CRAVVVTPPNNNNASZVVTDDDPNNNNNNNNNBT 
DNNNNAS 	CRAVVSNNNNNNNNBSPZVSDDDPPNNNAS 
PNNNNNNNNNAS 	CRAVVVSNNNNNNBTPPZVVSDDPNAS 
PPNNAT 	CRAVVVVTPPNNNNATPZVTDDDPNNNNBS 
DDDPPNNNBS 	CRBVVVVSPPNNNNNNBSPPCRBVVVSNNNNNASPPCRAVSNNNBTPPCRBVTPNNNNNNNBSZVVVSDPPNNNNNNNAS 
PPNNNAS 	CRAVSNNNNNNNNASPCRAVSPNATCRAVVVVTPNNNNNNNNNBSPZVVVVVSPNBT 
DNNNNAS 	CRAVSNASPCRAVVSPNNNNNNBSPPZVVVVVSDPNNNNNAT 
PNNNNNNNBS 	CRBVVVVSPPNBTCRBVVVVTPNBSPPZVVVVVSDDDPNNNAS 
DDDPPNNNNNNNNNBT 	CRBVTPNNATPCRAVVVTNASPCRAVVVSPNNNNNNNNNBTPPZVVVTDDPNNNNNNNNBS 
DDPPNNNNBT 	CRBVVVVTNNNNNNNATPPZVVVTDDDNNBT 
DDDPNNNNBS 	CRBVVVSPNNASZVVVVSPPNNAS 
DPNNBT 	CRBVVVTPPNNNNNNNNBSPPCRBVVVSPPNNNNNBSCRBVVVVVSPPNNNNNNNNNBSPCRBVVSPNNNNNNNNASPPZVVVVVTDNNNNNNNNNAT 
DPPNNNAT 	CRAVTPPNNNNBTPPCRBVVTPNNNNNNNNNBTPZVVVTDDNNNNBS 
DDDPPNNNNNNBS 	CRBVSPNNNBTPCRBVTNNNNNNBTPPCRBVVVVTPNNNBSPPCRBVVVSPPNNNNNNBTZVSDDDNNNNNNBT 
DPPNNNNNBS 	CRBVVVVVSPNNBSPPCRBVVSPPNBSPCRBVVVVSPNNNNNNNATPCRAVVVTPPNNNNNNNNNASZVVVSDPNNNBT 
DDDPPNNNNNAS 	CRAVSNNNNNNNATCRAVVVTPPNNATCRAVVTPNBSPCRBVVSPNNNNNNNNBTZVVVVSPPNNBS 
DDPNNNBT 	CRBVTNNNNASPPZVVVTDDPPNNNNNNNNNAS 
DDPPNNNAT 	CRAVVTPPNNNNNNNNASPCRAVVVSPNNNNASPPCRAVVVVVSPPNATZVVVVTDDDPNNNNNNNNNAS 
DNNNNNBT 	CRBVVTPNNBTCRBVVTNNNNNNATPZVVTDPNNNNNNNNNBS 
DPNNNBT 	CRBVVVTPNASPCRAVVSPPNNNNNNNNASPCRAVVVVSPNNNNNNNNNBTZVVVVTNNAS 
DDDNNNNNNNNNAS 	CRAVVSPPNNNNNNNNNATZVVVVVSDPPNNNNNNNNNBT 
DPNAS 	CRAVSNNNNNNNNASPCRAVVVSPPNATPCRAVTPNNNNNNNNNATCRAVVVVVTPPNNNNNNNNNBTPPZVVVSDDNNNBT 
NNNNAT 	CRAVVVVVTPNBSPCRBVVVVVSNNNNBSPPCRBVVSNATCRAVVVVTNNNNNNNNNATPPZVVVTDDDNAT 
PPNNNNNNNNBS 	CRBVSPPNNNNNNNATPPZVVVSDDDPPNNNBT 
DDNNNNNNNNBT 	CRBVTNATPZVVVTDPPNNNBS 
DDPNBT 	CRBVVVVVTNNNATPCRAVVTPNNNNNASCRAVVVVSPNNATPZVVVTDDDPPNNNAT 
PPNNNNNNNNNAT 	CRAVTNNNNNNNNNBTCRBVVVTPPNNBSPZVVTDPPNNNNNNNNBT 
DDPPNNNNNNNNNBS 	CRBVVVSPPNBTPCRBVVVVTPPNNNNBSCRBVVVSNNNBTPPCRBVTPPNNNNNNATPZVVVVSDDDPPNNNNNAT 
DDDPNNNBT 	CRBVVVTPPNNNNNBTPPZVVVVVTDDDPPNNNNNAS 
DDPPNNNNNNNBT 	CRBVVVVTPPNNNNNNNNATPZVTDDPNNBS 
DNNNNNNNNBS 	CRBVVSNNNNNATPCRAVVTPNNNNNNNNBSPZVVVSPNNBS 
DDNNNNNNNNNAS 	CRAVVVSNNNNNNNATCRAVTPPNNASPCRAVVVVVSNNNNNNNNBSZVSDNNNNNNNAS 
DNNNBT 	CRBVTPPNNNNNNBSPPCRBVSNNNNNNNNBTPPCRBVVVTPNBTCRBVVVVTNNNNNASZVVVTPPNNNNNNNAT 
PNNNNNNNNBT 	CRBVTPNNNBTPCRBVTPPNNNNNNNNBSPPCRBVVVVSNNNNNNNNNBSPPCRBVVVSPPNNNNNBTPZVVVTNNNNNNNNNBT 
DDDPNNBT 	CRBVVVVVTNNNNNBSPPCRBVVVVSPPNBTCRBVVVVTPPNATPCRAVVVVTPPNNNNNNNBSPPZVVVVTDDPNNNNNNBT 
DDPNNNNNNNNAT 	CRAVVVVTPPNNNNNNNNNATPPCRAVTPPNNNNBSPCRBVSPNNATPPZVVVTDDDPNNNBT 
DPPNNNAS 	CRAVVSPPNNNNNBTCRBVVVVTPPNNNNNNNNBSPCRBVVSNNNNNNNATPPCRAVVVTPNNNBTPZVSDDDNNNNBS 
DDDPPNNNNNNNNAT 	CRAVVVTPPNNASPCRAVVVVVSPNNNNNNNBSCRBVVVSNNNNNNBTPPCRBVVTPNNNNBTPPZVVVVVTNNAT 
PNNNNNNNNBT 	CRBVTNNNNNBSCRBVSNNNNNASPPCRAVVVSPPNNNNNASPPZVVTDDPPNNNNNNNNAT 
DPNNBS 	CRBVSPNASCRAVVSPNNBTPPCRBVVTNNASPCRAVVVSPPNNNNNBTZVVSNNNNNNNNAS 
DDPNNNBT 	CRBVVTPNNNNNNASPPCRAVVVVVSNNNNBSZVVTDDPNNNNNBT 
NAS 	CRAVVVSPPNNNNNATCRAVVVVTPPNNNBTCRBVVVVVTNNNNNNBTPCRBVVVVTPPNNNNBSZVVVVVSDDDPNNNNNNNBT 
DPNNNBS 	CRBVVSNNNNNNNBTCRBVVTPPNNNNNNNNATZVVSDDPPNNNNNNNNAS 
